AgtId,GeWom
589,"Page 2, 
In turn, the delegation representing the President Elect, Mrs. Violeta Barrios de Chamorro, states the following:
[...]
Second. As an expression of just recognition of the patriotic work of the Nicaraguan resistance, it is necessary to assist the injured orphans and widows, the innocent victims of the armed struggle. To that end it undertakes to take measures to ensure the rehabilitation and social reintegration of those affected as soon as Mrs. Violeta Barrios de Chamorro assumes office. They will also be entitled to the corresponding monthly pensions. 
[...]"
578,"Page 4, 1.d. The resistance is urged to submit immediately a list of widows and orphans, so that the Nicaraguan Social Security and Welfare Institute can include them in its budget and they can receive the monthly pensions to which they are entitled. 

Page 2, 10.
In compliance with the Toncontin Agreement and its addendum, the resistance hereby ratifies its undertaking to demobilise and lay down its arms by 10 June 1990 at the latest. To that end, the resistance undertakes to demobilize at least 100 combatants each day in each zone as from this date. Furthermore, in honour of Mother's Day, a considerable number of the combatants of the Nicaraguan resistance shall be demobilized."
1332,"Page 7, SECTION 4, HUMAN RIGHTS PROTECTION, 25: Articles 55 and 56 of the UN Charter pledge all member States to take joint and separate action to promote universal respect for, and observance of, human rights and fundamental freedoms for all without distinction as to race, sex, language or religion."
1312,"Page 1, Untitled Preamble: The All-Liberia National Conference was held in Virginia, Liberia from March 15 to April 20, 1991 under the Triumvirate Chair of Ambassador Herbert R.W. Brewer, Archbishop Michael Kpakala Francis and Shiekh Kafumba Konneh. The Conference was attended by one hundred and fifty-one (151) delegates of thirty-six (36) delegations from the following Political Parties, warring factions, interest groups and county representatives:
...3.	Interest Groups:
...Women Development Association of Liberia (WODAL)


Page 3, THE INTERIM ELECTIONS COMMISSION, Composition: An Independent Interim Elections Commission was established by the Conference and composed of Representatives from the following Interest Groups:
...The Women Development Association of Liberia"
151,"Page 5, III. Guarantees, Article h,
The government is obliged to provide members of the armed movement with two changes of clothes, comprising a pair of boots, a pair of trousers, a shirt, a pair of socks and male or female underwear, in line with the sizes specified by the organisation. The first change of clothes will be provided in the camp in April, in line with the previous commitment. The second will be provided before the surrender of arms, together with one case per person."
163,"Page 3, TITLE II. ON RIGHTS, GUARANTEES, AND DUTIES CHAPTER I. ON FUNDAMENTAL RIGHTS, ARTICLE 13

All individuals are born free and equal before the law, shall receive equal protection and treatment from the authorities, and shall enjoy the same rights, freedoms, and opportunities without any discrimination on account of gender, race, national or family origin, language, religion, political opinion, or philosophy.

The State shall promote the conditions so that equality may be real and effective and shall adopt measures in favor of groups that are discriminated against or marginalized.

The State shall especially protect those individuals who on account of their economic, physical, or mental condition are in obviously vulnerable circumstances and shall sanction the abuses or ill-treatment perpetrated against them.

. . . 

Page 7, TITLE II. ON RIGHTS, GUARANTEES, AND DUTIES CHAPTER I. ON FUNDAMENTAL RIGHTS, ARTICLE 40

Any citizen has the right to participate in the establishment, exercise, and control of political power. To make this decree effective the citizen may:

...

7.	Agree to undertake public functions and responsibilities, except for those Colombian citizens, native-born or naturalized, who hold dual citizenship. An Act shall spell out this exception and shall determine the cases where they apply.

The authorities shall guarantee the adequate and effective participation of women in the decision-making ranks of the public administration.

Page 7-8, CHAPTER II. ON SOCIAL, ECONOMIC, AND CULTURAL RIGHTS, 

ARTICLE 42
The family is the basic nucleus of society. It is formed on the basis of natural or legal ties, through the free decision of a man and woman to contract matrimony or through the responsible resolve to comply with it.

ARTICLE 43
Women and men have equal rights and opportunities. Women cannot be subjected to any type of discrimination. During their periods of pregnancy and following delivery, women shall benefit from the special assistance and protection of the State and shall receive from the latter food subsidies if they should thereafter find themselves unemployed or abandoned.

The State shall support the female head of household in a special way.

Page 8, CHAPTER II. ON SOCIAL, ECONOMIC, AND CULTURAL RIGHTS, ARTICLE 44

The following are basic rights of children: life, physical integrity, health and social security, a balanced diet, their name and citizenship, to have a family and not be separated from it, care and love, instruction and culture, recreation, and the free expression of their opinions. They shall be protected against all forms of abandonment, physical or moral violence, sequestration, sale, sexual abuse, work or economic exploitation, and dangerous work. They shall also enjoy other rights upheld in the Constitution, the laws, and international treaties ratified by Colombia.

...

Page 9-10, CHAPTER II. ON SOCIAL, ECONOMIC, AND CULTURAL RIGHTS, ARTICLE 48

...

The provisions on infirmity and widower’s pensions notwithstanding, it is necessary to comply with the requirements concerning age, time of service, length of contribution payments or required capital and other conditions defined by an Act in order to obtain the right to a pension. The requirements for and the benefits resulting from obtaining the right to an infirmity or widower’s pension shall be established by the Acts of the General Pensions System.


Page, 13, CHAPTER II. ON SOCIAL, ECONOMIC, AND CULTURAL RIGHTS, ARTICLE 53

The Congress shall issue a labor statute. The appropriate law shall take into account at least the following minimal fundamental principles:

Equality of opportunity for workers; minimum essential and flexible remuneration proportional to the amount and quality of work; stability in employment; irrevocability of minimum benefits established in labor regulations; options to negotiate about and reconcile uncertain and arguable rights; a situation more favorable to the worker in case of doubt in the application and interpretation of the formal bases of the law; the primacy of facts over established formalities in issues of labor relations; guarantees to social security, training, instruction, and necessary rest; special protection of women, mothers, and minor-age workers.

...


Page 21, TITLE III. ON THE POPULATION AND THE TERRITORY CHAPTER I. ON NATIONALITY, ARTICLE 96 

The following are Colombian nationals:

1. By birth:
a.	Colombian natives, upon one of two conditions: that the father or the mother have been Colombian natives or nationals or that, being children of aliens, either parent was domiciled in the Republic at the time of birth; and,

b.	The children of a Colombian father or mother born abroad who have later established their domicile in the Colombian territory or registered in a consular office of the Republic.

Page 24-25, CHAPTER II. ON POLITICAL PARTIES AND POLITICAL MOVEMENTS, ARTICLE 107

...

The political parties and movements shall organize themselves democratically and shall have as their guiding principles transparency, objectivity, morality, the equality of sexes, and the duty to present and disseminate their political programs.

Page 32-33, TITLE VI. ON THE LEGISLATIVE BRANCH, CHAPTER I. ON ITS COMPOSITION AND FUNCTIONS, ARTICLE 134:
…
There shall be no temporary absence, with the exception of women who stay away from due to maternity leave. The resignation of a member of a popularly elected body once he or she has been formally involved in criminal proceedings for crimes committed in Colombia or abroad in relation to membership in, promotion or funding of illegal armed groups, drug-trafficking, or crimes against the system of democratic participation or against humanity, shall entail the loss of his/her status as member of Congress, deputy, councillor or alderman/alderwoman and shall not result in his/her replacement by the next candidate on the list. Temporary absence does not give rise to replacement.


Page 60-61, CHAPTER VII. ON THE PUBLIC FORCE, ARTICLE 221:

...

The military or police criminal justice system shall not have jurisdiction over crimes against humanity, and crimes of genocide, forced disappearances, extrajudicial executions, sexual violence, torture, or forced displacement. Police, Martial or Military Tribunals shall have jurisdiction only over violations of international humanitarian law committed by members of the public force, except in the offenses mentioned above.

Page 93, TITLE XI. ON THE TERRITORIAL ORGANIZATION, CHAPTER IV. ON THE SPECIAL REGIME, ARTICLE 322:
...
In each of the localities there shall be an administrative board, popularly elected for periods of four (4) years, which shall be composed of no fewer than seven aldermen/alderwomen, in accordance with the determination of the District Council made on the basis of the respective population.
The election of the senior mayor, the district councilors, and the aldermen/alderwomen shall be held on the
same day for periods of four(4) years; the mayor may not be reelected for the following term.
...
The councilors and aldermen/alderwomen may not form part of the executive boards of the decentralized entities."
449,"Page 17, Annexure A, Procedures for Readmission Reception and Reintegration of South African Returnees who Apply to the UNHCR for Voluntary Repatriation to the Republic of South Africa
III. Installation and Reintegration
25. Special measures may be taken by the parties to assure the social security and welfare of returnees considered as vulnerable such as the physically or mentally handicapped, unaccompanied minors, the seriously sick and elderly persons, orphans and single women without any other support."
462,"Page 6, Chapter 3, Security Forces: General provisions, 3.1 General Principles
3.1.1 The police shall endeavour to protect the people of South Africa from all criminal acts and shall to do so in a rigorously non-partisan fashion, regardless of the political belief and affiliation, race, religion, gender or ethnic origin of the perpetrators or victims of such acts.

Page 7, Chapter 3, Security Forces: General provisions, 
3.2 The police shall observe the following more detailed set of requirements:
3.2.1 The police shall endeavour to protect the people of South Africa from all criminal acts and shall to do so in a rigorously non-partisan fashion, regardless of the political belief and affiliation, race, religion, gender or ethnic origin of the perpetrators or victims of such acts.
 
Page 15, Chapter 4, Security Forces: Police Code of Conduct, Code of Conduct of the South African Police
... • The favour and approval of the public shall be sought by:
... • giving effective and friendly service to each individual, regardless of the political and religious belief, race, gender or ethnic origin;"
252,"Page 21, Annex 5, Principles for a new constitution for Cambodia, 2: Cambodia's tragic recent history requires special measures lo assure protection of human rights. Therefore, the constitution will contain a declaration of fundamental rights, including the rights to life, personal liberty, security, freedom of movement, freedom of religion, assembly and association including political parties and trade unions, due process and equality before the law, protection from arbitrary deprivation of property or deprivation of private property without just compensation, and freedom from racial, ethnic, religious or sexual discrimination..."
1173,"Page 6, Appendix: Sarajevo ""Blue Route"" Concept, Article 1.2.2
All civilians, regardless of sex, age, or ethnic origin, and without weapons or ammunition, will be allowed to use the routes."
