Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,description,agt_type,stage_label,stage - sort,stage_short,agt_dat,PAX_Hyperlink,PAX_Generate_PDF,PDF_Hyperlink,year
Argentina/United Kingdom,Territory,7,Argentina-UK: Falklands process,Cross-regional,431,1,"Joint Statement of Confidence-Building Measures, including an Information and Consultation System and Safety Measures for Air and Maritime Navigation",1990-02-15,Multiparty signed/agreed,11.0,21579,Inter,SubPar,Iss,"Joint statement, not signed, agreement mentions the following parties having produced and agreed to it: [The text of the Joint Statement was agreed by the British and Argentine Delegations at Madrid on 15 February 1990 after two days of negotiation.]",,"Page 1, Introduction: 
[...] It followed the previous Joint Statement agreed by the British and Argentine Delegations at Madrid on 19 October 1989, which established the 'sovereignty umbrella' whereby the two Governments agreed to put to one side their respective sovereignty claims over the Falkland Islands, South Georgia and the South Sandwich Islands so that they could hold further talks on matters of mutual interest. [...]",ARG,GBR,346.0,,,202,No,"Joint Statement toward normalization of relations between the two parties; re-establishes diplomatic relations; established framework for reaching future agreement (communication links, air and maritime operations, facilitation of visits to cemetery by close relatives, visas, environment, drugs); British government to lift protection zone around the islands. The core issues it covers are communication mechanisms, military, humanitarian (access to the cemetery) and investment issues.",Interstate,"Framework-substantive, partial",3,Substantive Partial,"Joint Statement of Confidence-Building Measures, including an Information and Consultation System and Safety Measures for Air and Maritime Navigation (15/02/1990)",https://pax.peaceagreements.org/agreements/431/,https://pax.peaceagreements.org/agreements/coding431/,https://pax.peaceagreements.org/media/documents/ag431_57d296436f2f7.pdf,1990
Papua New Guinea/(Bougainville),Government/territory,9,Bougainville: peace process,Asia and Pacific,295,1,Agreement to End Hostilities on Bougainville,1990-03-01,Multiparty signed/agreed,1.0,1336,Intra,Pre,PreMix,"Signed: Samuel KAUONA, Commander, Bougainville Revolutionary Army;
Col Leo NUIA, OBE, Deputy Controller, Bougainville State of Emergency;","Witnessed:
John Fidelis SEMOSO;",,PNG,,369.0,,,854,No,Short ceasefire agreement with 'cooling off' and reconciliation period,Intrastate,Pre-negotiation,1,Pre-negotiation,Agreement to End Hostilities on Bougainville (01/03/1990),https://pax.peaceagreements.org/agreements/295/,https://pax.peaceagreements.org/agreements/coding295/,https://pax.peaceagreements.org/media/documents/ag295_5603d9c7f04b1.pdf,1990
Colombia,Government,97,Colombia I - Gaviria,Americas,168,1,"Political Agreement between the National Government, the Political Parties, M-19 and the Catholic Church as Moral and Spiritual Guardian of the ProcessSpanish: Acuerdo Político entre el Gobierno Nacional, los Partidos Políticos, el M-19, y la Iglesia Católica en Calidad de Tutora Moral y Espiritual del Proceso",1990-03-09,Multiparty signed/agreed,4.0,7902,Intra,SubComp,FrAg,"VIRGILIO BARCO 

President of the Republic 

RAFAEL PARDO RUEDA 

Presidential Adviser 

JULIO CESAR TURBAY AYALA 

Former President of the Republic and National Director of the Colombian Liberal Party 

CARLOS PIZARRO LEONGOMEZ 

Absolute Commander of the M-19 

ANTONIO NAVARRO WOLF 

Commander of the M-19","Monsehor ALVARO FANDINO 

Representative of the Catholic Church, Moral and Spiritual guide of the Process 

Dr. LULS AYALA 

Witness, representative of the Socialist International",,COL,,289.0,1502,,856,No,"Attempted to reinvigorate the Political Pact of 1989 and add new elements.  Provided for a return to civilian life for the guerillas, and for community programmes in areas where the guerillas were demobilising.  Provided for electoral reform to increase political participation in particular for minorities.  Provided for a Commission to look at reform of Criminal Justice.  Established an Academic Non-governmental Commission to look at the different dimensions of drug trafficking.  The government undertook to fulfill its obligations by the date on which M-19 committed to demobilising and disarming.  The signatories undertook to form an ‘Implementation Commission’ to firm up the compromises in the agreement.  The 1989 Security Plan was also reactivated.  Attempted to reinvigorate the Political Pact of 1989 and add new elements.  The govt undertook to fulfil its obligations by the date on which M-19 committed to demoblising and disarming.  The 1989 Security Plan was also reactivated.

Sissela: This document is a political agreement which covers several issues, e.g. mechanisms for constitutional reforms, more democratic participation, conditions for transformation of demobilised groups into political parties, a fund to help zones in which the guerrilla were active, electoral reform, justice reform, drug production, trade and consumption. The agreement will come into force once arms are laid down, the point at which the M-19 announce that their armed forces demobilise and its members reintegrate into the institutional life of the country. They will hand over arms, ammunition in front of a commission of the Socialist International. The government in turn will initiate the reinsertion programmes. M-19 assures that all its members agree and it will cease to exist. A security plan will assure the security of M19 leaders for a considerable time.",Intrastate,"Framework-substantive, comprehensive",4,Substantive Comprehensive,"Political Agreement between the National Government, the Political Parties, M-19 and the Catholic Church as Moral and Spiritual Guardian of the ProcessSpanish: Acuerdo Político entre el Gobierno Nacional, los Partidos Políticos, el M-19, y la Iglesia Católica en Calidad de Tutora Moral y Espiritual del Proceso (09/03/1990)",https://pax.peaceagreements.org/agreements/168/,https://pax.peaceagreements.org/agreements/coding168/,https://pax.peaceagreements.org/media/documents/ag168_57bc48a6ba5b6.pdf,1990
Nicaragua,Government,29,Nicaragua contra process,Americas,589,1,The Toncontin Agreement,1990-03-23,Multiparty signed/agreed,3.0,3205,Intra,Cea,CeaMix,"President Elect Mrs Violeta Barrios de Chamorro, Nicaraguan Resistance",Most Reverend Cardinal Miguel Obando Bravo,,NIC,,336.0,,,828,No,"Resistance forces recognize the results of free elections and commits to demobilizing; parties agree a ceasefire; parties requesting cooperation of intl bodies such as ONUCA and Comisión Internacional de Apoyo y Verificación (CIAV), and Most Reverend Miguel Obando y Bravo",Intrastate,Ceasefire,2,Ceasefire,The Toncontin Agreement (23/03/1990),https://pax.peaceagreements.org/agreements/589/,https://pax.peaceagreements.org/agreements/coding589/,https://pax.peaceagreements.org/media/documents/ag589_56323d044f2eb.pdf,1990
Guatemala,Government,45,Guatemala peace process,Americas,309,1,Basic Agreement for the Search for Peace by Political Means ('Oslo Agreement'),1990-03-30,Multiparty signed/agreed,3.0,6508,Intra,Pre,Prin,"Delegation of the National Reconciliation Commission of Guatemala, representing the Guatemalan Government: (Signad) Jorge SERRANO ELIAS; (Signed) Mario PERMUTH; (Signid) Eduardo P. VILLATORO;
Delegation of the General Command of the Unidad Revolucionaria Nacional Guatemalteca: (Signed) Luis DECKER GUZMAN; (Signed) Francisco VILLAGRAN; (Signed) Jorge E. ROSAL;

For the delegation of the National Reconciliation Commission: (Signed) Jorge SERRANO ELIAS; (Signed) Mario PERMUTH; (Signed) Eduardo P. VILLATORO Executive Secretary of CNR;
For the delegation of the Unidad Revolucionaria Nacional Guatemalteca: (Signed) Luis BECKER GUZMAN; (Signed) Francisco VILLAGRAN M.; (Signer) Jorge E. ROSAL;","UN (observer), National Reconciliation Commission (conciliator)","Page 2, GOOD OFFICES
... In accordance with the spirit of the Esquipulas II Agreement, the National Reconciliation Commission shall take steps to facilitate and sustain the peace-seeking activities to which this Agreement refers, through its good offices and the appointment as Conciliator, by agreement with URNG, of Monsignor Rodolfo Quezada Torufio in his capacity as Chairman of the National Reconciliation Commission.
The National Reconciliation Commission and the Unidad Revolucionaria Nacional Guatemalteca agree to request the Secretary-General of the United Nations, Dr. Javier Perez de Cuellar, to observe the activities to be carried out and to act as guarantor of compliance with the agreements and commitments entered into upon signature of this document.

Page 2-3, ACTIVITIES TO BE CARRIED OUT
The two delegations agree to launch activities which will generate conditions permitting the definitive attainment of peace and the enhancement of democracy.
(c) Talks with a view to achieving a political solution of the internal armed confrontation shall be held, on a date to be established by mutual agreement between the Government of Guatemala and the Unidad Revolucionaria Nacional Guatemalteca, between representatives - with decision-making powers - of the Government of the Republic, the Guatemalan Army and the General Command of the Unidad Revolucionaria Nacional Guatemalteca. The National Reconciliation Commission shall take part in these meetings for purposes of confirmation and verification, in accordance with the functions attributed to it under the Esquipulas II Agreement.",GTM,,233.0,1082,,809,No,Sets out arrangements for facilitation of future dialogue and confirms appointment and mandate of National Reconciliation Committee (CNR) Conciliator and invitation of UN monitoring force.  Outlines plans for series of consultations involving Guatemalan National Revolutionary Unity (URNG) and a range of civil and political groups leading to direct dialogue with the government at an unspecified future date.,Intrastate,Pre-negotiation,1,Pre-negotiation,Basic Agreement for the Search for Peace by Political Means ('Oslo Agreement') (30/03/1990),https://pax.peaceagreements.org/agreements/309/,https://pax.peaceagreements.org/agreements/coding309/,https://pax.peaceagreements.org/media/documents/ag309_57d9ec3dc45c7.pdf,1990
Costa Rica/El Salvador/Guatemala/Honduras/Nicaragua,Government,29,Nicaragua contra process,Americas,887,1,Montelimar Declaration,1990-04-03,Multiparty signed/agreed,5.0,12717,InterIntra,Imp,ExtSub,"Oscar ARIAS SANCHEZ President of the Republic of Costa Rica
Alfredo CRISTIANI BURKARD President of the Republic of El Salvador
Vinicio CEREZO AREVALO President of the Republic of Guatemala
Rafael Leonardo CALLEJAS President of the Republic of Honduras
Daniel ORTEGA SAAVEDRA President of the Republic of Nicaragua",,,NIC,SLV,336.0,,,828,No,"An agreement between the countries in Latin America, as part of the Esquipulas process to support democratisation in the region.  It deals win particular with the end of the conflict in Nicaragua, but is aimed at wider regional support mechanisms for democratisation.",Interstate/mixed,Implementation,5,Implementation,Montelimar Declaration (03/04/1990),https://pax.peaceagreements.org/agreements/887/,https://pax.peaceagreements.org/agreements/coding887/,https://pax.peaceagreements.org/media/documents/ag887_57bc692cd0266.pdf,1990
El Salvador,Government,36,El Salvador peace process,Americas,393,1,Press Communiqué Issued Following the Geneva Meeting Presided over by the Secretary General between Representatives of the Government of El Salvador and of the Frente Farabundo Martí para la Liberación nacional ('Geneva Agreement'),1990-04-04,Multiparty signed/agreed,3.0,5046,Intra,Pre,Prin,"Representing the Government of El Salvadort: Mr. Oscar SANTAMARÍA; Ambassador Guillermo PAZ LARIN; Ambassador Ana Cristina SOL; Ambassador Carlos Ernesto MENDOZA

Representing the Frente Farabundo Marti para la Liberación Nacionalt: Commander Shafik RANDAL; Mr. Salvador SAMAYOA; Commander Ana Guadalupe MARTINEZ; Commander Roberto CANAS","UN (signatory)

In the capacity assigned to me by the United Nations Security Council in resolution 637 (1989)
(Signed) Javier PEREZ DE CUELLAR
Secretary-General of the United Nations",,SLV,,316.0,1102,,817,No,Parties agree principles for peace negotiations,Intrastate,Pre-negotiation,1,Pre-negotiation,Press Communiqué Issued Following the Geneva Meeting Presided over by the Secretary General between Representatives of the Government of El Salvador and of the Frente Farabundo Martí para la Liberación nacional ('Geneva Agreement') (04/04/1990),https://pax.peaceagreements.org/agreements/393/,https://pax.peaceagreements.org/agreements/coding393/,https://pax.peaceagreements.org/media/documents/ag393_57f76254151aa.pdf,1990
Nicaragua,Government,29,Nicaragua contra process,Americas,215,1,Addendum to the Toncontin Agreement,1990-04-18,Multiparty signed/agreed,1.0,1847,Intra,Pre,Proc,"President Elect, Nicaraguan Resistance",Most Reverend Cardinal Miguel Obando Bravo,,NIC,,336.0,,,828,No,"Short declaration by parties stating that demobilization process to take place from April 25, 1990 to June 10, 1990. With voluntary decommissioning to be supervised by ONUCA, CIAV and the Cardinal.",Intrastate,Pre-negotiation,1,Pre-negotiation,Addendum to the Toncontin Agreement (18/04/1990),https://pax.peaceagreements.org/agreements/215/,https://pax.peaceagreements.org/agreements/coding215/,https://pax.peaceagreements.org/media/documents/ag215_57bc57d7bd1f3.pdf,1990
Nicaragua,Government,29,Nicaragua contra process,Americas,366,1,Definitive Ceasefire Agreement between the Government of the Republic of Nicaragua and the YATAMA Atlantic Front of the Nicaraguan Resistance under the Auspices of his Eminence Miguel Cardinal Obando y Bravo,1990-04-18,Multiparty signed/agreed,4.0,6500,Intra,Cea,Ceas,"'YATAMA' Atlantic Front of the Nicaraguan Resistance; Nicaraguan Govt General, Rep of the Elected Govt of Nicaragua",Miguel Cardinal Obando y Bravo,,NIC,,336.0,,,828,No,"Parties agree definitive ceasefire, UNOCA and Cardinal Obanda y Bravo, to observe ceasefire and 'security zones'; CIAV to deliver humanitarian assistance; Nicaraguan govt to demine areas mined by the Sandinistas; Annexes setting out security zones, and timetable for implementation.

Page 2, Article 4,
Both the United Nations Observer Group in Central America and His Eminence Miguel Cardinal Obando y Bravo shall make the necessary arrangements for verification of the cease-fire.",Intrastate,Ceasefire,2,Ceasefire,Definitive Ceasefire Agreement between the Government of the Republic of Nicaragua and the YATAMA Atlantic Front of the Nicaraguan Resistance under the Auspices of his Eminence Miguel Cardinal Obando y Bravo (18/04/1990),https://pax.peaceagreements.org/agreements/366/,https://pax.peaceagreements.org/agreements/coding366/,https://pax.peaceagreements.org/media/documents/ag366_57bc57f2403b4.pdf,1990
Nicaragua,Government,29,Nicaragua contra process,Americas,375,1,Effective and Definitive Ceasefire Agreement between the Government of Nicaragua and the Nicaraguan Resistance under the Auspices of his Eminence Miguel Cardinal Obando y Bravo,1990-04-18,Multiparty signed/agreed,5.0,8183,Intra,Cea,Ceas,Government of Nicaragua; Nicaraguan Resistance,Under the Auspices of his Eminence Miguel Cardinal Obando y Bravo,,NIC,,336.0,,,828,No,"Agreement providing for ceasefire and its verification, security zones for demobilization. Annex is Act establishing the demilitarized zone, and a schedule of activities to be carried out during the process of the demobilization of the resistance forces.",Intrastate,Ceasefire,2,Ceasefire,Effective and Definitive Ceasefire Agreement between the Government of Nicaragua and the Nicaraguan Resistance under the Auspices of his Eminence Miguel Cardinal Obando y Bravo (18/04/1990),https://pax.peaceagreements.org/agreements/375/,https://pax.peaceagreements.org/agreements/coding375/,https://pax.peaceagreements.org/media/documents/ag375_57bc5813b58a9.pdf,1990
