AgtId,Text_length
589,3165
578,4904
1332,22260
1312,8718
151,22659
163,332300
449,20384
462,71798
252,55934
1173,13815
186,3989
1880,7791
474,147683
637,42024
1469,3903
1475,9162
503,8362
504,27892
1343,21928
216,13482
1621,1120
606,40355
1710,4414
505,19280
507,116203
472,86830
1916,5221
407,304867
127,13536
397,5065
1292,27149
608,26425
1198,74795
36,62379
273,23258
271,65925
303,26254
1258,2499
468,2330
1504,3522
916,2700
1044,7111
128,38318
283,42922
1643,2326
523,13930
983,142043
984,36848
985,139895
989,1430
640,17466
2,20505
389,190958
214,19525
226,6430
327,15017
425,24883
426,28776
542,14408
291,61553
371,23778
479,62832
1255,22691
292,44963
278,28275
254,9322
284,58685
75,27523
488,16640
550,39515
1122,2307
211,2500
238,29481
464,8417
335,32378
933,5241
556,75669
380,10260
156,10452
314,2966
384,17901
370,22063
405,126885
1813,22909
241,26683
478,52954
319,27618
1737,16372
553,7881
1256,13706
1814,21525
501,20900
572,1864
1967,11159
1803,1603
274,1221
1682,22489
1816,3721
1794,1767
1007,356982
306,321273
1146,12944
108,2395
1196,2358
1437,43837
586,7602
402,13655
213,4419
312,120315
1425,108469
272,22610
1334,21889
470,24737
908,10307
978,38815
440,13555
2536,57294
1052,32860
2528,30618
1159,7467
1155,736
321,21450
1160,4839
325,15286
394,31652
1161,7123
436,27551
1273,2004
1280,15587
652,18246
1276,3113
1277,3380
1278,6812
132,53641
1303,88537
404,155048
2532,7903
2531,11038
1154,16516
421,6925
338,71299
1010,18477
565,22992
1423,4731
385,38396
590,50462
99,18382
2530,36665
1422,59190
1054,7370
98,15383
647,7251
496,22340
498,69595
682,18975
2034,4791
202,8104
91,8889
349,25408
270,63148
337,313869
1421,110703
1060,21499
1012,12409
94,7094
1800,186636
2525,16106
1595,30601
343,52176
899,7724
1852,1581
1061,38268
350,192951
1417,13692
1406,13253
86,4749
702,11762
373,45556
1329,1302
1336,168777
1264,24003
1327,7698
1530,9847
336,24042
701,16676
87,17272
333,29728
1062,20693
88,32191
668,29522
1322,243175
676,4704
1856,1504
1972,3372
888,14231
137,17544
1745,6192
699,4362
1744,5722
1265,24512
1747,1814
671,10609
672,11019
1190,13229
696,4506
667,10581
695,10667
694,9988
1749,3965
685,12472
692,12631
1750,8217
691,5738
670,3852
734,2370
688,7717
705,8693
669,5114
826,42945
1672,11406
1943,5361
686,3007
735,1007
1761,3048
1762,2762
722,14533
706,9247
713,6837
744,4044
843,16871
2047,16623
1673,6872
707,26044
764,19683
753,7647
754,9938
738,8733
708,8957
709,31349
1671,8117
730,3995
1945,4600
853,182084
1414,5880
854,24162
1716,23074
1415,19268
728,20205
745,21697
768,15598
759,3750
1947,10221
849,20636
758,20205
848,23273
2334,23715
1681,7989
1680,15369
866,3800
1819,11879
779,3824
781,4287
782,11891
783,10206
784,12843
864,38616
1360,135737
785,19464
867,20275
1321,11373
810,2510
811,5102
880,22381
789,7040
873,4649
1820,14668
878,26826
1340,338348
1580,2819
875,23595
871,7012
2246,10853
1898,22601
813,13511
1901,33188
869,13453
1843,4430
1659,60731
812,51867
868,26750
793,36370
884,10491
882,15214
1400,586741
1525,3259
1411,5171
1675,16211
815,70070
1844,6503
817,53692
1515,25356
818,8167
1392,11596
1840,925
1186,10486
798,19012
1923,10859
799,6658
1394,1284
1661,7618
1536,11644
903,4876
906,26388
1355,17889
1187,10415
1395,6125
1396,2437
1981,1860
2035,9794
1442,15014
1353,3762
1398,25548
1365,59697
1518,15631
1397,3171
1357,55142
1361,332140
1440,5125
1369,5223
1436,24920
1519,16958
1545,22099
1435,89293
1544,9062
1547,171060
1712,3776
1370,84990
1596,11019
1548,3402
2197,8473
1507,10375
1566,5958
1921,16346
1922,25267
1585,4940
2286,9264
1606,6049
1586,30967
1605,6182
1655,7795
2078,1983
1736,28819
1796,61786
2065,773
1821,3184
1739,9986
1979,16202
2127,2742
1845,859016
1958,32870
1913,30196
1962,4143
2075,9527
2233,3927
2196,3684
1910,4420
2050,7120
2204,2293
1966,21088
2114,6874
2488,8091
2195,3286
2287,4342
2265,2585
2608,5994
2190,3833
2383,4924
2111,18872
2258,9457
2112,147741
2382,3274
2199,1679
2230,8064
2211,3851
2346,1516
2147,52768
2194,10228
2264,2479
2347,6530
2348,4812
2349,4852
2232,4607
2243,7559
2247,8282
2603,7608
2376,4748
2379,17091
2374,7555
2270,106900
2401,18394
2310,8371
2408,15663
2404,4008
2369,9003
2325,547440
2371,5910
2399,11554
2331,5623
2378,12199
2377,4454
2384,3645
2385,3910
2386,3646
2462,20435
2391,11925
2470,4980
2433,23722
2394,4837
2450,5335
2484,2300
2441,1954
2609,16931
2607,20407
2443,15464
2464,5542
2496,6720
2570,10854
2559,20090
2543,7459
2544,13658
2569,12284
2582,13221
2584,5133
2593,9201
2595,5411
2587,11472
